# E  prob
1.00e-03  0.276364371
1.05e-03  0.2763643707
1.09e-03  0.2763643735
1.14e-03  0.2763643739
1.19e-03  0.2763643714
1.25e-03  0.2763643737
1.30e-03  0.2763643725
1.36e-03  0.2763643732
1.43e-03  0.2763643684
1.49e-03  0.2763643686
1.56e-03  0.2763643741
1.63e-03  0.2763643715
1.70e-03  0.2763643715
1.78e-03  0.2763643737
1.86e-03  0.2763643742
1.94e-03  0.2763643731
2.03e-03  0.276364369
2.12e-03  0.2763643697
2.22e-03  0.2763643725
2.32e-03  0.2763643728
2.42e-03  0.2763643746
2.53e-03  0.2763643839
2.65e-03  0.276364375
2.77e-03  0.2763643747
2.89e-03  0.2763643917
3.03e-03  0.2763643727
3.16e-03  0.2763643753
3.31e-03  0.2763643747
3.46e-03  0.2763643759
3.61e-03  0.276364371
3.78e-03  0.2763643727
3.95e-03  0.2763643728
4.12e-03  0.2763643729
4.31e-03  0.2763643714
4.51e-03  0.2763643711
4.71e-03  0.2763643737
4.92e-03  0.2763643727
5.15e-03  0.2763643685
5.38e-03  0.2763643694
5.62e-03  0.2763643752
5.88e-03  0.2763643764
6.14e-03  0.2763643733
6.42e-03  0.2763643738
6.71e-03  0.2763643773
7.02e-03  0.2763643726
7.33e-03  0.2763643752
7.67e-03  0.2763643769
8.01e-03  0.2763643743
8.38e-03  0.2763643736
8.76e-03  0.276364375
9.15e-03  0.2763643681
9.57e-03  0.2763643709
1.00e-02  0.2763643713
1.05e-02  0.2763643701
1.09e-02  0.2763643751
1.14e-02  0.276364374
1.19e-02  0.2763643744
1.25e-02  0.2763643687
1.30e-02  0.2763643632
1.36e-02  0.2763643786
1.43e-02  0.2763643742
1.49e-02  0.2763643698
1.56e-02  0.2763643733
1.63e-02  0.2763643785
1.70e-02  0.2763643642
1.78e-02  0.2763643687
1.86e-02  0.2763643877
1.94e-02  0.2763643867
2.03e-02  0.2763643706
2.12e-02  0.2763643815
2.22e-02  0.2763643812
2.32e-02  0.2763643384
2.42e-02  0.2763643739
2.53e-02  0.2763643533
2.65e-02  0.2763643639
2.77e-02  0.276364351
2.89e-02  0.2763643868
3.03e-02  0.2763643478
3.16e-02  0.2763644198
3.31e-02  0.2763643841
3.46e-02  0.2763643469
3.61e-02  0.276363697
3.78e-02  0.2763643597
3.95e-02  0.2763390156
4.12e-02  0.2763639987
4.31e-02  0.2763643034
4.51e-02  0.2763641898
4.71e-02  0.2763643395
4.92e-02  0.2763643689
5.15e-02  0.2763643406
5.38e-02  0.2763625024
5.62e-02  0.2763643702
5.88e-02  0.2763643444
6.14e-02  0.2763643367
6.42e-02  0.2763643431
6.71e-02  0.2763642633
7.02e-02  0.2763643678
7.33e-02  0.2763643417
7.67e-02  0.2763643236
8.01e-02  0.2763643685
8.38e-02  0.2763643948
8.76e-02  0.2763643487
9.15e-02  0.2763643634
9.57e-02  0.2763643749
1.00e-01  0.2763643576
1.05e-01  0.2763643317
1.09e-01  0.2763643795
1.14e-01  0.2763644928
1.19e-01  0.2763642896
1.25e-01  0.2763643437
1.30e-01  0.2763643759
1.36e-01  0.2763642597
1.43e-01  0.2763642508
1.49e-01  0.2763642908
1.56e-01  0.2763643397
1.63e-01  0.2763644358
1.70e-01  0.2763643489
1.78e-01  0.2763643356
1.86e-01  0.2763644188
1.94e-01  0.2763643672
2.03e-01  0.2763644816
2.12e-01  0.2763644387
2.22e-01  0.2763642486
2.32e-01  0.2763643519
2.42e-01  0.2763643079
2.53e-01  0.2763645249
2.65e-01  0.2763644013
2.77e-01  0.2763643411
2.89e-01  0.2763646801
3.03e-01  0.2763644986
3.16e-01  0.2763642464
3.31e-01  0.2763645819
3.46e-01  0.2763643897
3.61e-01  0.2763643426
3.78e-01  0.2763644697
3.95e-01  0.2763646167
4.12e-01  0.2763646033
4.31e-01  0.2763645512
4.51e-01  0.2763645415
4.71e-01  0.2763643927
4.92e-01  0.2763643532
5.15e-01  0.276364625
5.38e-01  0.2763642515
5.62e-01  0.2763643891
5.88e-01  0.2763646795
6.14e-01  0.2763645178
6.42e-01  0.2763642619
6.71e-01  0.2763644569
7.02e-01  0.2763647675
7.33e-01  0.2763658465
7.67e-01  0.2763643558
8.01e-01  0.2763649378
8.38e-01  0.2763675589
8.76e-01  0.2763642563
9.15e-01  0.2763644294
9.57e-01  0.2763644903
1.00e+00  0.2763650818
1.05e+00  0.276364893
1.09e+00  0.2763644775
1.14e+00  0.2763651989
1.19e+00  0.2763649446
1.25e+00  0.276365178
1.30e+00  0.2763658973
1.36e+00  0.2763650789
1.43e+00  0.2763643938
1.49e+00  0.2763646677
1.56e+00  0.2763652035
1.63e+00  0.2763656301
1.70e+00  0.2763655537
1.78e+00  0.276364346
1.86e+00  0.2763547329
1.94e+00  0.2763648176
2.03e+00  0.2763658917
2.12e+00  0.2763643619
2.22e+00  0.2763656244
2.32e+00  0.2763647431
2.42e+00  0.2763649933
2.53e+00  0.2763706203
2.65e+00  0.2763778367
2.77e+00  0.2763663418
2.89e+00  0.2763658048
3.03e+00  0.2763707075
3.16e+00  0.2763646707
3.31e+00  0.2763643816
3.46e+00  0.2763653818
3.61e+00  0.2763672837
3.78e+00  0.2763669927
3.95e+00  0.2763670333
4.12e+00  0.2763640289
4.31e+00  0.2763659184
4.51e+00  0.2763706427
4.71e+00  0.2763661348
4.92e+00  0.2763658278
5.15e+00  0.2763693052
5.38e+00  0.2763670872
5.62e+00  0.2763658108
5.88e+00  0.2763664442
6.14e+00  0.2763646748
6.42e+00  0.2763866123
6.71e+00  0.2763686783
7.02e+00  0.276365555
7.33e+00  0.2763635966
7.67e+00  0.2763700585
8.01e+00  0.2763781331
8.38e+00  0.2763667928
8.76e+00  0.2763873073
9.15e+00  0.276367352
9.57e+00  0.276390535
1.00e+01  0.2763625676
1.05e+01  0.2763711299
1.09e+01  0.2763712524
1.14e+01  0.2763721226
1.19e+01  0.2763665433
1.25e+01  0.2763522146
1.30e+01  0.2763651943
1.36e+01  0.276375572
1.43e+01  0.2763744289
1.49e+01  0.2763530729
1.56e+01  0.2763504715
1.63e+01  0.2763503351
1.70e+01  0.2763636572
1.78e+01  0.2763650253
1.86e+01  0.2763648728
1.94e+01  0.2763752401
2.03e+01  0.2764908696
2.12e+01  0.2763612096
2.22e+01  0.2763475384
2.32e+01  0.2764305578
2.42e+01  0.276217531
2.53e+01  0.276378051
2.65e+01  0.2764163893
2.77e+01  0.276386672
