# E  prob
1.00e-03  0.3490328029
1.05e-03  0.3490328026
1.09e-03  0.349032802
1.14e-03  0.349032795
1.19e-03  0.3490327991
1.25e-03  0.3490328029
1.30e-03  0.3490328033
1.36e-03  0.3490328047
1.43e-03  0.3490328011
1.49e-03  0.3490328016
1.56e-03  0.3490327998
1.63e-03  0.3490328022
1.70e-03  0.3490327983
1.78e-03  0.3490328028
1.86e-03  0.349032803
1.94e-03  0.3490328035
2.03e-03  0.3490327997
2.12e-03  0.3490328035
2.22e-03  0.349032803
2.32e-03  0.3490328005
2.42e-03  0.3490328025
2.53e-03  0.3490328029
2.65e-03  0.3490328017
2.77e-03  0.3490328046
2.89e-03  0.349032801
3.03e-03  0.3490328044
3.16e-03  0.3490328028
3.31e-03  0.3490328019
3.46e-03  0.3490328004
3.61e-03  0.3490328032
3.78e-03  0.3490328011
3.95e-03  0.3490328022
4.12e-03  0.3490328016
4.31e-03  0.3490328035
4.51e-03  0.3490328015
4.71e-03  0.3490328021
4.92e-03  0.3490327995
5.15e-03  0.3490328027
5.38e-03  0.3490328031
5.62e-03  0.3490327837
5.88e-03  0.3490328012
6.14e-03  0.3490328025
6.42e-03  0.3490328013
6.71e-03  0.3490328004
7.02e-03  0.3490328044
7.33e-03  0.3490327984
7.67e-03  0.3490327966
8.01e-03  0.3490327977
8.38e-03  0.3490327977
8.76e-03  0.3490327945
9.15e-03  0.3490328026
9.57e-03  0.3490327987
1.00e-02  0.3490327991
1.05e-02  0.3490327997
1.09e-02  0.3490327949
1.14e-02  0.3490327969
1.19e-02  0.3490327963
1.25e-02  0.3490328011
1.30e-02  0.3490328012
1.36e-02  0.3490327936
1.43e-02  0.3490327963
1.49e-02  0.3490328018
1.56e-02  0.3490327979
1.63e-02  0.3490327945
1.70e-02  0.3490328015
1.78e-02  0.3490328014
1.86e-02  0.3490327915
1.94e-02  0.3490327904
2.03e-02  0.3490328038
2.12e-02  0.3490327941
2.22e-02  0.34903281
2.32e-02  0.3490219666
2.42e-02  0.3490327985
2.53e-02  0.3490326269
2.65e-02  0.3490327919
2.77e-02  0.349032776
2.89e-02  0.3490327992
3.03e-02  0.3490327852
3.16e-02  0.3490327879
3.31e-02  0.3490327738
3.46e-02  0.3490327925
3.61e-02  0.3490327798
3.78e-02  0.3490327918
3.95e-02  0.3490327868
4.12e-02  0.3490327515
4.31e-02  0.3490327711
4.51e-02  0.3490046862
4.71e-02  0.3490327624
4.92e-02  0.3490327761
5.15e-02  0.3490327833
5.38e-02  0.3490327822
5.62e-02  0.3490327467
5.88e-02  0.3490327514
6.14e-02  0.3490327747
6.42e-02  0.3490330894
6.71e-02  0.3490327704
7.02e-02  0.3490327669
7.33e-02  0.349032777
7.67e-02  0.3490327577
8.01e-02  0.3490327426
8.38e-02  0.3490327039
8.76e-02  0.3490327446
9.15e-02  0.3490327057
9.57e-02  0.349032744
1.00e-01  0.3490327157
1.05e-01  0.3490327459
1.09e-01  0.3490327231
1.14e-01  0.3490327258
1.19e-01  0.3490327316
1.25e-01  0.3490327638
1.30e-01  0.3490327756
1.36e-01  0.3490325107
1.43e-01  0.3490331749
1.49e-01  0.3490327584
1.56e-01  0.3490327403
1.63e-01  0.3490326978
1.70e-01  0.3490327062
1.78e-01  0.3490327447
1.86e-01  0.3490327237
1.94e-01  0.3490325185
2.03e-01  0.349032589
2.12e-01  0.3490326985
2.22e-01  0.349032748
2.32e-01  0.3490326969
2.42e-01  0.3490327332
2.53e-01  0.3490326533
2.65e-01  0.3490326991
2.77e-01  0.3490327925
2.89e-01  0.3490326235
3.03e-01  0.3490326358
3.16e-01  0.349032762
3.31e-01  0.3490326161
3.46e-01  0.3490392308
3.61e-01  0.3490327598
3.78e-01  0.3490323418
3.95e-01  0.3490324833
4.12e-01  0.3490325871
4.31e-01  0.349032637
4.51e-01  0.3490384133
4.71e-01  0.3490327536
4.92e-01  0.349032447
5.15e-01  0.3490326388
5.38e-01  0.3490327881
5.62e-01  0.3490327186
5.88e-01  0.3490325416
6.14e-01  0.3490326943
6.42e-01  0.3490323845
6.71e-01  0.3490323935
7.02e-01  0.3490331365
7.33e-01  0.3490325995
7.67e-01  0.3490327979
8.01e-01  0.3490291825
8.38e-01  0.3490327869
8.76e-01  0.3490326659
9.15e-01  0.3490328042
9.57e-01  0.3490326355
1.00e+00  0.3490323003
1.05e+00  0.3490330026
1.09e+00  0.3490326369
1.14e+00  0.3490321711
1.19e+00  0.3490323892
1.25e+00  0.3490321025
1.30e+00  0.349035409
1.36e+00  0.3490317486
1.43e+00  0.3490327967
1.49e+00  0.3490322251
1.56e+00  0.3490337228
1.63e+00  0.3490319344
1.70e+00  0.3490317505
1.78e+00  0.3490340731
1.86e+00  0.3490307656
1.94e+00  0.349032325
2.03e+00  0.3490317574
2.12e+00  0.3490328774
2.22e+00  0.3490321383
2.32e+00  0.34903558
2.42e+00  0.3490336422
2.53e+00  0.3490314034
2.65e+00  0.3490323386
2.77e+00  0.3490311349
2.89e+00  0.3490536115
3.03e+00  0.3489825155
3.16e+00  0.3490313111
3.31e+00  0.3490608504
3.46e+00  0.3490331769
3.61e+00  0.3490069003
3.78e+00  0.349047857
3.95e+00  0.3490310378
4.12e+00  0.3490328513
4.31e+00  0.3490312877
4.51e+00  0.3490306212
4.71e+00  0.3490313675
4.92e+00  0.3490319435
5.15e+00  0.3490309637
5.38e+00  0.3490305703
