# E  prob
1.00e-03  0.3746028192
1.05e-03  0.3746028149
1.09e-03  0.3746028177
1.14e-03  0.3746028203
1.19e-03  0.3746028165
1.25e-03  0.3746028159
1.30e-03  0.3746028171
1.36e-03  0.3746028206
1.43e-03  0.3746028193
1.49e-03  0.3746028173
1.56e-03  0.3746028204
1.63e-03  0.3746028132
1.70e-03  0.3746028173
1.78e-03  0.3746028146
1.86e-03  0.3746028193
1.94e-03  0.3746028142
2.03e-03  0.3746028199
2.12e-03  0.3746028151
2.22e-03  0.3746028153
2.32e-03  0.3746028199
2.42e-03  0.3746028182
2.53e-03  0.374602818
2.65e-03  0.3746028191
2.77e-03  0.3746028174
2.89e-03  0.3746028178
3.03e-03  0.3746028196
3.16e-03  0.3746028187
3.31e-03  0.37460282
3.46e-03  0.3746028172
3.61e-03  0.3746028193
3.78e-03  0.3746028195
3.95e-03  0.3746028147
4.12e-03  0.3746028155
4.31e-03  0.3746028161
4.51e-03  0.3746028171
4.71e-03  0.3746028187
4.92e-03  0.3746028185
5.15e-03  0.3746028179
5.38e-03  0.3746027642
5.62e-03  0.3746028168
5.88e-03  0.3746028165
6.14e-03  0.3746028174
6.42e-03  0.3746028171
6.71e-03  0.3746028162
7.02e-03  0.3746028183
7.33e-03  0.3746028178
7.67e-03  0.3746028176
8.01e-03  0.3746028146
8.38e-03  0.3746028149
8.76e-03  0.3746028136
9.15e-03  0.3746028159
9.57e-03  0.3746028152
1.00e-02  0.3746028156
1.05e-02  0.3746028168
1.09e-02  0.3746028148
1.14e-02  0.3746028153
1.19e-02  0.3746028126
1.25e-02  0.3746028153
1.30e-02  0.374602818
1.36e-02  0.3746028136
1.43e-02  0.3746028145
1.49e-02  0.3746028157
1.56e-02  0.3746028151
1.63e-02  0.3746028139
1.70e-02  0.3746028175
1.78e-02  0.3746028167
1.86e-02  0.3746028119
1.94e-02  0.3746028118
2.03e-02  0.374602821
2.12e-02  0.3746028125
2.22e-02  0.3746028359
2.32e-02  0.3746028167
2.42e-02  0.3746028172
2.53e-02  0.3746028137
2.65e-02  0.3746028111
2.77e-02  0.3746028043
2.89e-02  0.374602815
3.03e-02  0.3746028124
3.16e-02  0.3746028027
3.31e-02  0.3746028049
3.46e-02  0.3746028114
3.61e-02  0.3746026605
3.78e-02  0.37460282
3.95e-02  0.3746028097
4.12e-02  0.3746027094
4.31e-02  0.3746027942
4.51e-02  0.3746027426
4.71e-02  0.3746027903
4.92e-02  0.3746027537
5.15e-02  0.3746028023
5.38e-02  0.3746027951
5.62e-02  0.3746027874
5.88e-02  0.3746027961
6.14e-02  0.3746027992
6.42e-02  0.3746028087
6.71e-02  0.374602807
7.02e-02  0.3746027985
7.33e-02  0.3746028099
7.67e-02  0.3746027865
8.01e-02  0.3746027811
8.38e-02  0.3746027413
8.76e-02  0.3746028623
9.15e-02  0.3746027786
9.57e-02  0.3746027811
1.00e-01  0.3746027708
1.05e-01  0.3746027877
1.09e-01  0.3746027669
1.14e-01  0.3746027688
1.19e-01  0.3746027785
1.25e-01  0.3746027921
1.30e-01  0.3746027736
1.36e-01  0.374602774
1.43e-01  0.3746027555
1.49e-01  0.3746027788
1.56e-01  0.3746027833
1.63e-01  0.3746027634
1.70e-01  0.3746026193
1.78e-01  0.3746027778
1.86e-01  0.374602734
1.94e-01  0.3746027621
2.03e-01  0.3746029657
2.12e-01  0.3746027501
2.22e-01  0.3746027982
2.32e-01  0.3746027853
2.42e-01  0.3746027616
2.53e-01  0.3746027154
2.65e-01  0.3746027525
2.77e-01  0.3746028118
2.89e-01  0.3746025517
3.03e-01  0.3746027431
3.16e-01  0.374602754
3.31e-01  0.3746026934
3.46e-01  0.3746027681
3.61e-01  0.3746027908
3.78e-01  0.3746027018
3.95e-01  0.3746026968
4.12e-01  0.3746026669
4.31e-01  0.3746027224
4.51e-01  0.3746026993
4.71e-01  0.3746027706
4.92e-01  0.3746027403
5.15e-01  0.3746027012
5.38e-01  0.3746027717
5.62e-01  0.3746030539
5.88e-01  0.3746020297
6.14e-01  0.3746026542
6.42e-01  0.3746028004
6.71e-01  0.3746025801
7.02e-01  0.3746025024
7.33e-01  0.3746027027
7.67e-01  0.3746027747
8.01e-01  0.3746026025
8.38e-01  0.3746078445
8.76e-01  0.3746027938
9.15e-01  0.3746027592
9.57e-01  0.374602697
1.00e+00  0.3746025049
1.05e+00  0.3746025866
1.09e+00  0.3746027542
1.14e+00  0.3746024699
1.19e+00  0.3746016446
1.25e+00  0.3746024329
1.30e+00  0.3746023384
1.36e+00  0.3746024543
1.43e+00  0.3746011662
1.49e+00  0.3746027625
1.56e+00  0.3745979724
1.63e+00  0.374602406
1.70e+00  0.3746034087
1.78e+00  0.374601398
1.86e+00  0.3746024299
1.94e+00  0.3746025925
2.03e+00  0.3746019021
2.12e+00  0.3746026732
2.22e+00  0.3746024368
2.32e+00  0.3746026088
2.42e+00  0.3746024191
2.53e+00  0.3746016394
2.65e+00  0.3746023919
2.77e+00  0.3745771946
2.89e+00  0.3746030322
3.03e+00  0.3746025292
3.16e+00  0.3745866371
3.31e+00  0.3746206067
3.46e+00  0.3745844677
3.61e+00  0.3746178482
3.78e+00  0.3746019863
3.95e+00  0.3746018129
4.12e+00  0.3746024167
4.31e+00  0.3746016572
4.51e+00  0.3746018188
